Verilator Statistics Report

Information:
  Verilator 4.204 2021-06-12 rev v4.204
  Arguments: --cc --exe --top-module SimTop +define+VERILATOR=1 +define+PRINTF_COND=1 +define+RANDOMIZE_REG_INIT +define+RANDOMIZE_MEM_INIT +define+RANDOMIZE_GARBAGE_ASSIGN +define+RANDOMIZE_DELAY=0 -Wno-STMTDLY -Wno-WIDTH -I/home/yuyake/oscpu/projects/backup/build --x-assign unique -O3 -CFLAGS -std=c++11 -static -Wall -I/home/yuyake/oscpu/libraries/difftest/src/test/csrc -I/home/yuyake/oscpu/libraries/difftest/src/test/csrc/common -I/home/yuyake/oscpu/libraries/difftest/src/test/csrc/difftest -DVERILATOR -Wno-maybe-uninitialized  -DNUM_CORES=1 -LDFLAGS -lpthread -lSDL2 -ldl -lz --trace --assert --stats-vars --output-split 30000 --output-split-cfuncs 30000 -o /home/yuyake/oscpu/projects/backup/build/emu -Mdir /home/yuyake/oscpu/projects/backup/build/emu-compile /home/yuyake/oscpu/projects/backup/build/SimTop.v ./src/test/vsrc/common/SimJTAG.v ./src/test/vsrc/common/ram.v ./src/test/vsrc/common/assert.v ./src/test/vsrc/common/difftest.v ./src/test/vsrc/common/EICG_wrapper.v ./src/test/vsrc/common/ref.v /home/yuyake/oscpu/libraries/difftest/src/test/csrc/verilator/emu.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/verilator/main.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/verilator/snapshot.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/keyboard.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/ram.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/common.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/sdcard.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/uart.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/axi4.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/flash.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/vga.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/SimJTAG.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/device.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/compress.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/remote_bitbang.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/difftest/goldenmem.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/difftest/difftest.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/difftest/nemuproxy.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/difftest/ref.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/difftest/interface.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/vcs/main.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/keyboard.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/ram.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/common.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/sdcard.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/uart.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/axi4.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/flash.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/vga.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/SimJTAG.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/device.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/compress.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/remote_bitbang.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/difftest/goldenmem.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/difftest/difftest.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/difftest/nemuproxy.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/difftest/ref.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/difftest/interface.cpp
  Node pairs, CCALL_SHIFTR                                                        1          1          1          1
  Node pairs, CCALL_VARREF                                                        2          2          2          1
  Node pairs, CCAST_AND                                                                               241         81
  Node pairs, CCAST_ARRAYSEL                                                                            3          1
  Node pairs, CCAST_CCAST                                                                             409        143
  Node pairs, CCAST_COND                                                                                3          1
  Node pairs, CCAST_EQ                                                                                179         78
  Node pairs, CCAST_NEGATE                                                                             34          8
  Node pairs, CCAST_NEQ                                                                                49         15
  Node pairs, CCAST_OR                                                                                 26          8
  Node pairs, CCAST_SHIFTR                                                                            338        147
  Node pairs, CCAST_VARREF                                                                           1451        460
  Node pairs, CCAST_WORDSEL                                                                             4          2
  Node pairs, CELL_PIN                                                18
  Node pairs, CFUNC_ASSIGN                                                                   2          3          1
  Node pairs, CFUNC_ASSIGNPRE                                                                1          1          1
  Node pairs, CFUNC_ASSIGNW                                                                  2          1          1
  Node pairs, CFUNC_CCALL                                                         1          4          4
  Node pairs, CFUNC_CHANGEDET                                                                1          1
  Node pairs, CFUNC_CRETURN                                                                  1          1
  Node pairs, CFUNC_CSTMT                                                        17         21         23          8
  Node pairs, CFUNC_IF                                                                       2          3          1
  Node pairs, CFUNC_TRACEDECL                                                     1          1          1
  Node pairs, CFUNC_TRACEINC                                                                 1          1
  Node pairs, CFUNC_VAR                                                          34         34         38          9
  Node pairs, CMATH_TEXT                                                         10         10         10          2
  Node pairs, CONCAT_AND                                               5         25         29
  Node pairs, CONCAT_CONCAT                                          177        331        337
  Node pairs, CONCAT_COND                                              2          4          3
  Node pairs, CONCAT_CONST                                            50         34         37
  Node pairs, CONCAT_EQ                                                           4          4
  Node pairs, CONCAT_EXTEND                                                       6          6
  Node pairs, CONCAT_NOT                                                          6          6
  Node pairs, CONCAT_OR                                                2          4          4
  Node pairs, CONCAT_REDOR                                                        2          2
  Node pairs, CONCAT_REPLICATE                                        23         45         53
  Node pairs, CONCAT_SEL                                                        363        363
  Node pairs, CONCAT_SELBIT                                          132
  Node pairs, CONCAT_SELEXTRACT                                       17
  Node pairs, CONCAT_SHIFTR                                            2
  Node pairs, CONCAT_VARREF                                           38         52         54
  Node pairs, COND_ADD                                                 1          7          7          7          5
  Node pairs, COND_AND                                                           17         17         27         13
  Node pairs, COND_ARRAYSEL                                                       4          4          4          2
  Node pairs, COND_CCAST                                                                               58         25
  Node pairs, COND_CONCAT                                                         2          2
  Node pairs, COND_COND                                                5         11         11         11          6
  Node pairs, COND_CONST                                               8         21         23         21         12
  Node pairs, COND_EQ                                                  2
  Node pairs, COND_EXTEND                                                        10         11
  Node pairs, COND_LOGAND                                              2
  Node pairs, COND_LOGOR                                               1
  Node pairs, COND_NEGATE                                                                               7          2
  Node pairs, COND_NOT                                                 2          3          4         12          3
  Node pairs, COND_OR                                                             4          4          4          2
  Node pairs, COND_PARSEREF                                            3
  Node pairs, COND_REPLICATE                                           5          7          7
  Node pairs, COND_SEL                                                           18         15
  Node pairs, COND_SELBIT                                              5
  Node pairs, COND_SELEXTRACT                                          4
  Node pairs, COND_SUB                                                 1
  Node pairs, COND_VARREF                                             39         82         81         41         20
  Node pairs, COND_WORDSEL                                                                             12          3
  Node pairs, CRESET_VARREF                                                                           205
  Node pairs, CRETURN_CCALL                                                                  1          1
  Node pairs, CSTMT_TEXT                                                        455        462        468        230
  Node pairs, EQ_AND                                                                                  587        175
  Node pairs, EQ_CCAST                                                                                125         26
  Node pairs, EQ_CONST                                                92        663        771        641        182
  Node pairs, EQ_PARSEREF                                              3
  Node pairs, EQ_SEL                                                            627        717
  Node pairs, EQ_SELBIT                                                2
  Node pairs, EQ_SELEXTRACT                                            9
  Node pairs, EQ_VARREF                                              102         92        126          1          1
  Node pairs, EXTEND_AND                                                          2          2
  Node pairs, EXTEND_OR                                                           8          7
  Node pairs, EXTEND_REPLICATE                                                    9         12
  Node pairs, EXTEND_SEL                                                         17         17
  Node pairs, EXTEND_VARREF                                                       7          6
  Node pairs, FUNCREF_ARG                                              6
  Node pairs, FUNC_VAR                                                 8
  Node pairs, IF_AND                                                             18         20         34         10
  Node pairs, IF_ARRAYSEL                                                                    6          6
  Node pairs, IF_ASSIGN                                                           3          3          3          2
  Node pairs, IF_ASSIGNDLY                                             1         73         73         75         61
  Node pairs, IF_BEGIN                                                53
  Node pairs, IF_CCALL                                                            1          2          2          2
  Node pairs, IF_CONST                                                                       2
  Node pairs, IF_CSTMT                                                                                  4
  Node pairs, IF_EQ                                                   22
  Node pairs, IF_IF                                                   18         16         16         16         13
  Node pairs, IF_LOGAND                                               10
  Node pairs, IF_LOGNOT                                                2
  Node pairs, IF_LOGOR                                                 4
  Node pairs, IF_NEQ                                                                                    6          3
  Node pairs, IF_NOT                                                              6          6
  Node pairs, IF_OR                                                    2          2          2          2          1
  Node pairs, IF_PARSEREF                                             14
  Node pairs, IF_REDOR                                                            6          6
  Node pairs, IF_TRACEINC                                                                    4          3
  Node pairs, IF_VARREF                                               46        126        126        128         64
  Node pairs, LOGAND_EQ                                               14
  Node pairs, LOGAND_LOGAND                                           16
  Node pairs, LOGAND_LOGOR                                             1
  Node pairs, LOGAND_NEQ                                               2
  Node pairs, LOGAND_PARSEREF                                          8
  Node pairs, LOGAND_REDOR                                            12
  Node pairs, LOGAND_SELBIT                                            8
  Node pairs, LOGAND_VARREF                                           33
  Node pairs, LOGNOT_PARSEREF                                          3
  Node pairs, LOGNOT_VARREF                                            3
  Node pairs, LOGOR_LOGAND                                             5
  Node pairs, LOGOR_LOGNOT                                             3
  Node pairs, LOGOR_PARSEREF                                           6
  Node pairs, LOGOR_VARREF                                             6
  Node pairs, MODULE_PORT                                             10
  Node pairs, MODULE_VAR                                              20          1          1          1
  Node pairs, NEGATE_CCAST                                                                            350        118
  Node pairs, NEQ_AND                                                                                  27         11
  Node pairs, NEQ_CCAST                                                                                74         21
  Node pairs, NEQ_CONST                                                2          6          6        107         34
  Node pairs, NEQ_SEL                                                             4          4
  Node pairs, NEQ_VARREF                                               2          2          2          6          2
  Node pairs, NETLIST_CFILE                                                                             1
  Node pairs, NETLIST_MODULE                                           1          1          1          1
  Node pairs, NETLIST_TYPETABLE                                        1          1          1          1
  Node pairs, NOT_CCAST                                                                                76         33
  Node pairs, NOT_CONST                                                1
  Node pairs, NOT_OR                                                              1          1          1          1
  Node pairs, NOT_REDOR                                                1          5          6
  Node pairs, NOT_SEL                                                            12         14
  Node pairs, NOT_SELBIT                                               2
  Node pairs, NOT_SHIFTR                                                                                8          2
  Node pairs, NOT_VARREF                                              29         73         78          8          2
  Node pairs, NOT_WORDSEL                                                                              12          3
  Node pairs, OR_AND                                                 128        280        286        710        291
  Node pairs, OR_CCAST                                                                                393        132
  Node pairs, OR_CONST                                                                                  9          2
  Node pairs, OR_EQ                                                             156        170        170         60
  Node pairs, OR_NEGATE                                                                                 6          3
  Node pairs, OR_NEQ                                                                                    6          2
  Node pairs, OR_NOT                                                              4          4          4          2
  Node pairs, OR_OR                                                  194        469        515        827        331
  Node pairs, OR_PARSEREF                                              2
  Node pairs, OR_REDOR                                                            7          6
  Node pairs, OR_REPLICATE                                                        6          6
  Node pairs, OR_SEL                                                             69         75
  Node pairs, OR_SHIFTL                                                                               101         47
  Node pairs, OR_VARREF                                              208        279        326          8          2
  Node pairs, PACKAGE_FUNC                                             1
  Node pairs, PACKAGE_SCOPE                                                       1          1          1
  Node pairs, PIN_CONST                                               54
  Node pairs, PIN_EQ                                                   1
  Node pairs, PIN_SELBIT                                              32
  Node pairs, PIN_SELEXTRACT                                           1
  Node pairs, PIN_VARREF                                             188
  Node pairs, RANGE_CONST                                            990          6          8          8
  Node pairs, REDOR_AND                                                1          2          2
  Node pairs, REDOR_VARREF                                            15         71         78
  Node pairs, REPLICATE_AND                                            2         24         24
  Node pairs, REPLICATE_CONCAT                                        47
  Node pairs, REPLICATE_CONST                                        186        320        334
  Node pairs, REPLICATE_EQ                                                       67         71
  Node pairs, REPLICATE_NOT                                            8         16         16
  Node pairs, REPLICATE_OR                                             1          6          5
  Node pairs, REPLICATE_REDOR                                                    19         20
  Node pairs, REPLICATE_SEL                                                     154        162
  Node pairs, REPLICATE_SELBIT                                        24
  Node pairs, REPLICATE_VARREF                                       102         34         36
  Node pairs, SCOPE_CFUNC                                                         2          2
  Node pairs, SCOPE_VARSCOPE                                                      2          2
  Node pairs, SELBIT_ATTROF                                          333
  Node pairs, SELBIT_CONST                                           331
  Node pairs, SELBIT_PARSEREF                                          1
  Node pairs, SELBIT_VARREF                                          336
  Node pairs, SELEXTRACT_ATTROF                                       50
  Node pairs, SELEXTRACT_CONST                                       100
  Node pairs, SELEXTRACT_SELBIT                                        1
  Node pairs, SELEXTRACT_VARREF                                       49
  Node pairs, SEL_ARRAYSEL                                                        2          3
  Node pairs, SEL_CMATH                                                           4          4
  Node pairs, SEL_COND                                                            2          2
  Node pairs, SEL_CONST                                                        3014       3344
  Node pairs, SEL_EXTEND                                                          6          8
  Node pairs, SEL_REPLICATE                                                      20         24
  Node pairs, SEL_VARREF                                                       1473       1631
  Node pairs, SENITEM_PARSEREF                                        10
  Node pairs, SENITEM_VARREF                                          24          1
  Node pairs, SENTREE_SENITEM                                         34          4
  Node pairs, SHIFTL_AND                                                                               25          9
  Node pairs, SHIFTL_CCAST                                                                            374        174
  Node pairs, SHIFTL_CONCAT                                                       4          3
  Node pairs, SHIFTL_CONST                                                                            507        232
  Node pairs, SHIFTL_EQ                                                                                42         21
  Node pairs, SHIFTL_NEGATE                                                                            43         16
  Node pairs, SHIFTL_NOT                                                                                4          2
  Node pairs, SHIFTL_OR                                                                                22         11
  Node pairs, SHIFTL_REPLICATE                                         1
  Node pairs, SHIFTL_VARREF                                            3          8          7          7          3
  Node pairs, SHIFTR_AND                                                                                2          1
  Node pairs, SHIFTR_CCAST                                                                            214         47
  Node pairs, SHIFTR_CONCAT                                                       2          2
  Node pairs, SHIFTR_COND                                              1          2          2          2          1
  Node pairs, SHIFTR_CONST                                             3          5          5        764        233
  Node pairs, SHIFTR_REPLICATE                                         1
  Node pairs, SHIFTR_SUB                                               3          5          5          5          3
  Node pairs, SHIFTR_VARREF                                            2          4          4        549        185
  Node pairs, SUB_CONST                                                6          5          5          5          3
  Node pairs, SUB_PARSEREF                                             1
  Node pairs, SUB_VARREF                                               3          5          5          5          3
  Node pairs, TASKREF_ARG                                             13
  Node pairs, TASK_VAR                                                13
  Node pairs, TOPSCOPE_SCOPE                                                      1          1          1
  Node pairs, TOPSCOPE_SENTREE                                                    1
  Node pairs, TRACEDECL_ADD                                                       4
  Node pairs, TRACEDECL_AND                                                      58
  Node pairs, TRACEDECL_ARRAYSEL                                                 32
  Node pairs, TRACEDECL_CONCAT                                                   11
  Node pairs, TRACEDECL_COND                                                      1
  Node pairs, TRACEDECL_CONST                                                    69
  Node pairs, TRACEDECL_EQ                                                       69
  Node pairs, TRACEDECL_EXTEND                                                    5
  Node pairs, TRACEDECL_NOT                                                       2
  Node pairs, TRACEDECL_OR                                                       34
  Node pairs, TRACEDECL_REDOR                                                     4
  Node pairs, TRACEDECL_SEL                                                      61
  Node pairs, TRACEDECL_SHIFTL                                                    3
  Node pairs, TRACEDECL_VARREF                                                  382
  Node pairs, TRACEINC_ADD                                                                   2          2
  Node pairs, TRACEINC_AND                                                                 100        204
  Node pairs, TRACEINC_ARRAYSEL                                                             64         64
  Node pairs, TRACEINC_ASSIGN                                                                           8
  Node pairs, TRACEINC_CCAST                                                                           10
  Node pairs, TRACEINC_CONCAT                                                               14
  Node pairs, TRACEINC_COND                                                                  2
  Node pairs, TRACEINC_CONST                                                                 8          8
  Node pairs, TRACEINC_EQ                                                                  126        126
  Node pairs, TRACEINC_EXTEND                                                                4
  Node pairs, TRACEINC_NEQ                                                                              2
  Node pairs, TRACEINC_NOT                                                                   4
  Node pairs, TRACEINC_OR                                                                   48         56
  Node pairs, TRACEINC_REDOR                                                                 2
  Node pairs, TRACEINC_SEL                                                                 106
  Node pairs, TRACEINC_SHIFTL                                                                2          2
  Node pairs, TRACEINC_VARREF                                                              389        397
  Node pairs, TYPETABLE_BASICDTYPE                                     1          1          1          1
  Node pairs, UNPACKARRAYDTYPE_BASICDTYPE                              3
  Node pairs, UNPACKARRAYDTYPE_RANGE                                   3          3          4          4
  Node pairs, VAR_BASICDTYPE                                        1099
  Node pairs, VAR_CONST                                                1
  Node pairs, VAR_UNPACKARRAYDTYPE                                     3
  Node pairs, WORDSEL_CONST                                                                            90         27
  Node pairs, WORDSEL_VARREF                                                                           90         27
  Node pairs, XOR_VARREF                                               2          4          4          4          2

  Var space, non-arrays, bytes                                         0       3005       2718       2934        837
  Var space, scoped, bytes                                                     2006       1719

  Vars, clock attribute                                                0          1          1          1          0
  Vars, unpacked arrayed                                               0          3          4          4          0
  Vars, width     1 SimTop.Ex_stage.Exe_stage_alu.op_addsub                       1          1          1
  Vars, width     1 SimTop.Ex_stage.Exe_stage_alu.op_shift                        1          1          1
  Vars, width     1 SimTop.Ex_stage.Exe_stage_alu.temp_sub                        1          1          1
  Vars, width     1 SimTop.Id_stage.inst_add                                      1          1          1
  Vars, width     1 SimTop.Id_stage.inst_addi                                     1          1          1
  Vars, width     1 SimTop.Id_stage.inst_addiw                                    1          1          1
  Vars, width     1 SimTop.Id_stage.inst_addw                                     1          1          1
  Vars, width     1 SimTop.Id_stage.inst_and                                      1          1          1
  Vars, width     1 SimTop.Id_stage.inst_andi                                     1          1          1
  Vars, width     1 SimTop.Id_stage.inst_beq                                      1          1          1
  Vars, width     1 SimTop.Id_stage.inst_bge                                      1          1          1
  Vars, width     1 SimTop.Id_stage.inst_bgeu                                     1          1          1
  Vars, width     1 SimTop.Id_stage.inst_blt                                      1          1          1
  Vars, width     1 SimTop.Id_stage.inst_bltu                                     1          1          1
  Vars, width     1 SimTop.Id_stage.inst_bne                                      1          1          1
  Vars, width     1 SimTop.Id_stage.inst_csrrc                                    1          1          1
  Vars, width     1 SimTop.Id_stage.inst_csrrci                                   1          1          1
  Vars, width     1 SimTop.Id_stage.inst_csrrs                                    1          1          1
  Vars, width     1 SimTop.Id_stage.inst_csrrsi                                   1          1          1
  Vars, width     1 SimTop.Id_stage.inst_csrrw                                    1          1          1
  Vars, width     1 SimTop.Id_stage.inst_csrrwi                                   1          1          1
  Vars, width     1 SimTop.Id_stage.inst_i_csr_imm                                1          1          1
  Vars, width     1 SimTop.Id_stage.inst_i_csr_reg                                1          1          1
  Vars, width     1 SimTop.Id_stage.inst_i_excp                                   1          1          1
  Vars, width     1 SimTop.Id_stage.inst_lb                                       1          1          1
  Vars, width     1 SimTop.Id_stage.inst_lbu                                      1          1          1
  Vars, width     1 SimTop.Id_stage.inst_ld                                       1          1          1
  Vars, width     1 SimTop.Id_stage.inst_lh                                       1          1          1
  Vars, width     1 SimTop.Id_stage.inst_lhu                                      1          1          1
  Vars, width     1 SimTop.Id_stage.inst_lw                                       1          1          1
  Vars, width     1 SimTop.Id_stage.inst_lwu                                      1          1          1
  Vars, width     1 SimTop.Id_stage.inst_or                                       1          1          1
  Vars, width     1 SimTop.Id_stage.inst_ori                                      1          1          1
  Vars, width     1 SimTop.Id_stage.inst_sb                                       1          1          1
  Vars, width     1 SimTop.Id_stage.inst_sd                                       1          1          1
  Vars, width     1 SimTop.Id_stage.inst_sh                                       1          1          1
  Vars, width     1 SimTop.Id_stage.inst_sll                                      1          1          1
  Vars, width     1 SimTop.Id_stage.inst_slli                                     1          1          1
  Vars, width     1 SimTop.Id_stage.inst_slliw                                    1          1          1
  Vars, width     1 SimTop.Id_stage.inst_sllw                                     1          1          1
  Vars, width     1 SimTop.Id_stage.inst_slt                                      1          1          1
  Vars, width     1 SimTop.Id_stage.inst_slti                                     1          1          1
  Vars, width     1 SimTop.Id_stage.inst_sltiu                                    1          1          1
  Vars, width     1 SimTop.Id_stage.inst_sltu                                     1          1          1
  Vars, width     1 SimTop.Id_stage.inst_sra                                      1          1          1
  Vars, width     1 SimTop.Id_stage.inst_srai                                     1          1          1
  Vars, width     1 SimTop.Id_stage.inst_sraiw                                    1          1          1
  Vars, width     1 SimTop.Id_stage.inst_sraw                                     1          1          1
  Vars, width     1 SimTop.Id_stage.inst_srl                                      1          1          1
  Vars, width     1 SimTop.Id_stage.inst_srli                                     1          1          1
  Vars, width     1 SimTop.Id_stage.inst_srliw                                    1          1          1
  Vars, width     1 SimTop.Id_stage.inst_srlw                                     1          1          1
  Vars, width     1 SimTop.Id_stage.inst_sub                                      1          1          1
  Vars, width     1 SimTop.Id_stage.inst_subw                                     1          1          1
  Vars, width     1 SimTop.Id_stage.inst_sw                                       1          1          1
  Vars, width     1 SimTop.Id_stage.inst_vld                                      1          1          1
  Vars, width     1 SimTop.Id_stage.inst_xor                                      1          1          1
  Vars, width     1 SimTop.Id_stage.inst_xori                                     1          1          1
  Vars, width     1 SimTop.bj_ena                                                 1          1          1
  Vars, width     1 SimTop.cmt_wen                                                1          1          1
  Vars, width     1 SimTop.csr_rd_ena                                             1          1          1
  Vars, width     1 SimTop.csr_wr_ena                                             1          1          1
  Vars, width     1 SimTop.ex_csr_wr_ena_r                                        1          1          1
  Vars, width     1 SimTop.ex_is_word_opt                                         1          1          1
  Vars, width     1 SimTop.ex_ram_rd_ena                                          1          1          1
  Vars, width     1 SimTop.ex_ram_rd_ena_r                                        1          1          1
  Vars, width     1 SimTop.ex_ram_wr_ena_r                                        1          1          1
  Vars, width     1 SimTop.ex_reg_wr_ena_r                                        1          1          1
  Vars, width     1 SimTop.ex_use_rs1                                             1          1          1
  Vars, width     1 SimTop.ex_use_rs2                                             1          1          1
  Vars, width     1 SimTop.ex_valid                                               1          1          1
  Vars, width     1 SimTop.excp_exit                                              1          1          1
  Vars, width     1 SimTop.id_allowin                                             1          1          1
  Vars, width     1 SimTop.id_reg_wr_ena                                          1          1          1
  Vars, width     1 SimTop.id_to_ex_valid                                         1          1          1
  Vars, width     1 SimTop.id_valid                                               1          1          1
  Vars, width     1 SimTop.mem_csr_wr_ena                                         1          1          1
  Vars, width     1 SimTop.mem_ram_rd_ena                                         1          1          1
  Vars, width     1 SimTop.mem_ram_wr_ena                                         1          1          1
  Vars, width     1 SimTop.mem_reg_wr_ena                                         1          1          1
  Vars, width     1 SimTop.mem_valid                                              1          1          1
  Vars, width     1 SimTop.rs1_r_ena                                              1          1          1
  Vars, width     1 SimTop.rs2_r_ena                                              1          1          1
  Vars, width     1 SimTop.skip                                                   1          1          1
  Vars, width     1 SimTop.stall                                                  1          1          1
  Vars, width     1 SimTop.vaild                                                  1          1          1
  Vars, width     1 SimTop.wb_csr_wr_ena                                          1          1          1
  Vars, width     1 SimTop.wb_reg_wr_ena                                          1          1          1
  Vars, width     1 SimTop.wb_valid                                               1          1          1
  Vars, width     1 __Vclklast__TOP__clock                                                   1          1
  Vars, width     1 __Vdly__SimTop.cmt_wen                                        1
  Vars, width     1 __Vdly__SimTop.ex_csr_wr_ena_r                                1
  Vars, width     1 __Vdly__SimTop.ex_is_word_opt                                 1
  Vars, width     1 __Vdly__SimTop.ex_ram_rd_ena_r                                1
  Vars, width     1 __Vdly__SimTop.ex_ram_wr_ena_r                                1
  Vars, width     1 __Vdly__SimTop.ex_reg_wr_ena_r                                1
  Vars, width     1 __Vdly__SimTop.ex_use_rs1                                     1
  Vars, width     1 __Vdly__SimTop.ex_use_rs2                                     1
  Vars, width     1 __Vdly__SimTop.ex_valid                                       1
  Vars, width     1 __Vdly__SimTop.id_valid                                       1
  Vars, width     1 __Vdly__SimTop.mem_csr_wr_ena                                 1
  Vars, width     1 __Vdly__SimTop.mem_ram_rd_ena                                 1
  Vars, width     1 __Vdly__SimTop.mem_ram_wr_ena                                 1
  Vars, width     1 __Vdly__SimTop.mem_reg_wr_ena                                 1
  Vars, width     1 __Vdly__SimTop.mem_valid                                      1
  Vars, width     1 __Vdly__SimTop.skip                                           1
  Vars, width     1 __Vdly__SimTop.vaild                                          1
  Vars, width     1 __Vdly__SimTop.wb_csr_wr_ena                                  1
  Vars, width     1 __Vdly__SimTop.wb_reg_wr_ena                                  1
  Vars, width     1 __Vdly__SimTop.wb_valid                                       1
  Vars, width     1 __Vdlyvset__SimTop.Regfile.regs__v0                           1          1          1          1
  Vars, width     1 __Vdlyvset__SimTop.Regfile.regs__v32                          1          1          1          1
  Vars, width     1 __Vm_traceActivity                                                       1          1
  Vars, width     1 atomicResp                                                    2          2          2
  Vars, width     1 clock                                                         1          1          1
  Vars, width     1 en                                                            2          2          2          2
  Vars, width     1 io_perfInfo_clean                                             1          1          1
  Vars, width     1 io_perfInfo_dump                                              1          1          1
  Vars, width     1 io_uart_in_valid                                              1          1          1
  Vars, width     1 io_uart_out_valid                                             1          1          1
  Vars, width     1 isRVC                                                         2          2          2          1
  Vars, width     1 jtag_TCK                                                      2          2          2
  Vars, width     1 jtag_TDI                                                      2          2          2
  Vars, width     1 jtag_TDO                                                      2          2          2
  Vars, width     1 jtag_TMS                                                      2          2          2
  Vars, width     1 jtag_TRSTn                                                    2          2          2
  Vars, width     1 ptwResp                                                       2          2          2
  Vars, width     1 reset                                                         1          1          1
  Vars, width     1 sbufferResp                                                   2          2          2
  Vars, width     1 scFailed                                                      2          2          2          1
  Vars, width     1 skip                                                          2          2          2          1
  Vars, width     1 valid                                                         8          8          8          2
  Vars, width     1 wen                                                           4          4          4          2
  Vars, width     3 SimTop.ex_reg_wr_ctrl                                         1          1          1
  Vars, width     3 SimTop.mem_reg_wr_ctrl                                        1          1          1
  Vars, width     3 SimTop.wb_reg_wr_ctrl                                         1          1          1
  Vars, width     3 __Vdly__SimTop.ex_reg_wr_ctrl                                 1
  Vars, width     3 __Vdly__SimTop.mem_reg_wr_ctrl                                1
  Vars, width     3 __Vdly__SimTop.wb_reg_wr_ctrl                                 1
  Vars, width     4 SimTop.ex_save_info                                           1          1          1
  Vars, width     4 SimTop.mem_save_info                                          1          1          1
  Vars, width     4 __Vdly__SimTop.ex_save_info                                   1
  Vars, width     4 __Vdly__SimTop.mem_save_info                                  1
  Vars, width     5 SimTop.ex_reg_wr_addr                                         1          1          1
  Vars, width     5 SimTop.ex_rs1_addr                                            1          1          1
  Vars, width     5 SimTop.ex_rs2_addr                                            1          1          1
  Vars, width     5 SimTop.id_reg_wr_addr                                         1          1          1
  Vars, width     5 SimTop.mem_reg_wr_addr                                        1          1          1
  Vars, width     5 SimTop.rs1_r_addr                                             1          1          1
  Vars, width     5 SimTop.rs2_r_addr                                             1          1          1
  Vars, width     5 SimTop.wb_reg_wr_addr                                         1          1          1
  Vars, width     5 __Vdly__SimTop.ex_reg_wr_addr                                 1
  Vars, width     5 __Vdly__SimTop.ex_rs1_addr                                    1
  Vars, width     5 __Vdly__SimTop.ex_rs2_addr                                    1
  Vars, width     5 __Vdly__SimTop.mem_reg_wr_addr                                1
  Vars, width     5 __Vdly__SimTop.wb_reg_wr_addr                                 1
  Vars, width     5 __Vdlyvdim0__SimTop.Regfile.regs__v32                         1          1          1          1
  Vars, width     6 SimTop.Ex_stage.Exe_stage_alu.shifter_in2                     1          1          1
  Vars, width     7 SimTop.ex_load_info                                           1          1          1
  Vars, width     7 SimTop.id_load_info                                           1          1          1
  Vars, width     7 SimTop.mem_load_info                                          1          1          1
  Vars, width     7 __Vdly__SimTop.ex_load_info                                   1
  Vars, width     7 __Vdly__SimTop.mem_load_info                                  1
  Vars, width     8 SimTop.Ex_stage.bj_data                                       1          1          1
  Vars, width     8 SimTop.byte_enable                                            1          1          1
  Vars, width     8 SimTop.cmt_wdest                                              1          1          1
  Vars, width     8 SimTop.ex_bj_info                                             1          1          1
